,Id,PreMinedValue,ImageUrl,FullName,Name,Symbol,Algorithm,Url,SortOrder,FullyPremined,ProofType,TotalCoinSupply,TotalCoinsFreeFloat,SmartContractAddress,Sponsored,BuiltOn,CoinName
PIX,223283,N/A,/media/1384024/pix.png,Lampix (PIX),PIX,PIX,N/A,/coins/pix/overview,1493,0,N/A,327154880,N/A,0x8eFFd494eB698cc399AF6231fCcd39E08fd20B15,False,7605,Lampix
SS,877303,N/A,/media/32655869/ss.png,Sharder (SS),SS,SS,N/A,/coins/ss/overview,2689,0,N/A,350000000,N/A,0xbbff862d906e348e9946bfb2132ecb157da3d4b4,False,7605,Sharder
ORS,863174,N/A,/media/30002247/orst.png,ORS Group (ORS),ORS,ORS,N/A,/coins/ors/overview,2636,0,PoW,557670520,N/A,0xeb9a4b185816c354db92db09cc3b50be60b901b6,False,7605,ORS Group
HOLD,850875,N/A,/media/30002104/hold.png,HOLD (HOLD),HOLD,HOLD,N/A,/coins/hold/overview,2584,0,N/A,1300000000,N/A,N/A,False,N/A,HOLD
MASP,849711,N/A,/media/30002079/masp.png,Market.space (MASP),MASP,MASP,N/A,/coins/masp/overview,2569,0,N/A,N/A,N/A,N/A,False,7605,Market.space
BBN,843613,N/A,/media/30001968/bbn.jpg,BBNCOIN (BBN),BBN,BBN,N/A,/coins/bbn/overview,2535,0,PoW,100000000,N/A,N/A,False,N/A,BBNCOIN
ESS,842171,N/A,/media/30001932/ess.png,Essentia (ESS),ESS,ESS,N/A,/coins/ess/overview,2520,0,N/A,1700000000,N/A,N/A,False,7605,Essentia
LVL*,836048,N/A,/media/30001870/lvl.png,LevelNet Token (LVL*),LVL*,LVL*,N/A,/coins/lvlstar/overview,2502,0,N/A,1500000000,N/A,0x9f0577396EDe6414394Fc97Ae222418E8A96ED24,False,7605,LevelNet Token
PKC,814191,N/A,/media/30001714/untitled-1.png,Pikciochain (PKC),PKC,PKC,N/A,/coins/pkc/overview,2466,0,N/A,83088000,N/A,N/A,False,27368,Pikciochain
PTC**,814149,N/A,/media/30001713/ptc.jpg,Plutocoin (PTC**),PTC**,PTC**,Scrypt,/coins/ptcstarstar/overview,2465,0,PoW/PoS,100000000,N/A,N/A,False,N/A,Plutocoin
ENTRC,811654,N/A,/media/30001688/entrc.jpg,ENTER COIN (ENTRC),ENTRC,ENTRC,N/A,/coins/entrc/overview,2458,0,N/A,100000000,N/A,0xaf55f3b7dc65c8f9577cf00c8c5ca7b6e8cc4433,False,7605,ENTER COIN
ETS,800145,N/A,/media/27011054/ets.jpg,ETH Share (ETS),ETS,ETS,N/A,/coins/ets/overview,2430,0,N/A,7000000,N/A,0x06cda3b81bcc049c6e379ab394adb851d2844c31,False,7605,ETH Share
